parcel,HouseNum,Ext,Rear,Unit,Dir,Street,Des,address,I Desig Date1,I Desig Date2,D Desig Date,District,Int Desig Date,latitude,longitude
'883332135','1608','14','','500','','Walnut','St','1608-14 Walnut St','2/2/1984 0:00:00','','','','',39.949535410599,-75.1681291406113
'888151440','1739','','','201','','Wallace','St','1739 Wallace St','','','10/11/2000 0:00:00','SG','',39.966140245935,-75.1670626163281
'888151441','1739','','','202','','Wallace','St','1739 Wallace St','','','10/11/2000 0:00:00','SG','',39.966140245935,-75.1670626163281
'888151348','1729','','','102','','Wallace','St','1729 Wallace St','','','10/11/2000 0:00:00','SG','',39.966190737782,-75.1666216927689
'888151349','1729','','','201','','Wallace','St','1729 Wallace St','','','10/11/2000 0:00:00','SG','',39.966190737782,-75.1666216927689
'888151350','1729','','','202','','Wallace','St','1729 Wallace St','','','10/11/2000 0:00:00','SG','',39.966190737782,-75.1666216927689
'888151351','1729','','','301','','Wallace','St','1729 Wallace St','','','10/11/2000 0:00:00','SG','',39.966190737782,-75.1666216927689
'083089000','131','','','0000000','N','20th','St','131 N 20th St','4/28/1970 0:00:00','','','','',39.9564090166568,-75.1722644752267
'883068550','407','','','0000000','N','20th','St','407 N 20th St','8/6/1981 0:00:00','','','','',39.9613184470714,-75.171000397522
'888153466','559','','','1','N','20th','St','559 N 20th St','','','10/11/2000 0:00:00','SG','',39.9641686508151,-75.1706138112255
'772297000','560','','','0000000','N','20th','St','560 N 20th St','','','10/11/2000 0:00:00','SG','',39.9642751902588,-75.1710773090952
'888154180','563','','','A','N','20th','St','563 N 20th St','','','10/11/2000 0:00:00','SG','',39.9643981007523,-75.1705587017898
'871086750','565','','','0000000','N','20th','St','565 N 20th St','','','10/11/2000 0:00:00','SG','',39.964447331583,-75.1705496944307
'871086800','567','','','0000000','N','20th','St','567 N 20th St','','','10/11/2000 0:00:00','SG','',39.9644935779481,-75.1705300932506
'871086850','569','','','0000000','N','20th','St','569 N 20th St','','','10/11/2000 0:00:00','SG','',39.9645428087765,-75.1705210858581
'151074910','609','','','0000000','N','20th','St','609 N 20th St','','','10/11/2000 0:00:00','SG','',39.9654528393716,-75.1704437021591
'151074920','611','','','0000000','N','20th','St','611 N 20th St','','','10/11/2000 0:00:00','SG','',39.965394655129,-75.1704209278944
'151074930','613','','','0000000','N','20th','St','613 N 20th St','','','10/11/2000 0:00:00','SG','',39.9654411419939,-75.1704120244979
'151074940','615','','','0000000','N','20th','St','615 N 20th St','','','10/11/2000 0:00:00','SG','',39.9654903728118,-75.1704030168943
'151074950','617','','','0000000','N','20th','St','617 N 20th St','','','10/11/2000 0:00:00','SG','',39.9655450113615,-75.1703902348333
'888150186','629','','','1','N','20th','St','629 N 20th St','3/1/1979 0:00:00','','10/11/2000 0:00:00','SG','',39.9666852487802,-75.1700471268444
'888150261','631','','','1','N','20th','St','631 N 20th St','3/1/1979 0:00:00','','10/11/2000 0:00:00','SG','',39.9667371433352,-75.1700344484842
'151075500','633','','','0000000','N','20th','St','633 N 20th St','3/1/1979 0:00:00','','10/11/2000 0:00:00','SG','',39.966789118075,-75.1700253362231
'886661200','2201','41','','0000000','N','20th','St','2201-41 N 20th St','6/7/1973 0:00:00','','','','',39.9880640240659,-75.1652362187841
'776506000','2101','','','0000000','W','Clarkson','Ave','2101 W Clarkson Ave','6/26/1956 0:00:00','','','','',40.0376763119832,-75.155511149303
'881026295','106','','','0000000','S','20th','St','106 S 20th St','','','2/8/1995 0:00:00','RF','',39.9517573807876,-75.1737576752991
'871005950','108','','','0000000','S','20th','St','108 S 20th St','','','2/8/1995 0:00:00','RF','',39.9517081496901,-75.1737666786527
'883066320','110','','','0000000','S','20th','St','110 S 20th St','','','2/8/1995 0:00:00','RF','',39.9516105682492,-75.1738239039124
'871006000','112','','','0000000','S','20th','St','112 S 20th St','','','2/8/1995 0:00:00','RF','',39.9515476974255,-75.1738369926972
'871006050','114','','','0000000','S','20th','St','114 S 20th St','','','2/8/1995 0:00:00','RF','',39.951498386254,-75.1738424306449
