parcel,HouseNum,Ext,Rear,Unit,Dir,Street,Des,address,I Desig Date1,I Desig Date2,D Desig Date,District,Int Desig Date,latitude,longitude
'151031130','560','','','0000000','N','17th','St','560 N 17th St','','','10/11/2000 0:00:00','SG','',39.9640421998042,-75.1662144398952
'151031140','562','','','0000000','N','17th','St','562 N 17th St','','','10/11/2000 0:00:00','SG','',39.9640913499894,-75.1662018634636
'151031150','564','','','0000000','N','17th','St','564 N 17th St','','','10/11/2000 0:00:00','SG','',39.9641432441232,-75.1661891826509
'886768400','601','','','0000000','N','17th','St','601 N 17th St','','','10/11/2000 0:00:00','SG','',39.9651430718186,-75.1655872397792
'886768500','603','','','0000000','N','17th','St','603 N 17th St','','','10/11/2000 0:00:00','SG','',39.9651977098323,-75.1655744539114
'084123300','605','','','0000000','N','17th','St','605 N 17th St','','','10/11/2000 0:00:00','SG','',39.96524968422,-75.1655653384454
'084123410','607','','','0000000','N','17th','St','607 N 17th St','','','10/11/2000 0:00:00','SG','',39.9653041615807,-75.1655454204694
'151031610','608','','','0000000','N','17th','St','608 N 17th St','','','10/11/2000 0:00:00','SG','',39.9654133048177,-75.1660016816818
'084123500','609','','','0000000','N','17th','St','609 N 17th St','','','10/11/2000 0:00:00','SG','',39.9653588799153,-75.1655362005757
'888151417','610','','','1','N','17th','St','610 N 17th St','','','10/11/2000 0:00:00','SG','',39.965481582314,-75.1659848081856
'084123600','611','','','0000000','N','17th','St','611 N 17th St','','','10/11/2000 0:00:00','SG','',39.965413517923,-75.1655234146262
'084123700','613','','','0000000','N','17th','St','613 N 17th St','','','10/11/2000 0:00:00','SG','',39.9654708998785,-75.1655105242637
'084123800','615','','','0000000','N','17th','St','615 N 17th St','','','10/11/2000 0:00:00','SG','',39.96552561821,-75.1655013043193
'084123901','617','','','0000000','N','17th','St','617 N 17th St','','','10/11/2000 0:00:00','SG','',39.9655802562136,-75.1654885183104
'084124000','619','','','0000000','N','17th','St','619 N 17th St','','','10/11/2000 0:00:00','SG','',39.9656403821141,-75.1654755234927
'888150371','630','32','','1','N','17th','St','630-32 N 17th St','','','10/11/2000 0:00:00','SG','',39.966172990565,-75.1658335886198
'151032420','634','','','0000000','N','17th','St','634 N 17th St','','','10/11/2000 0:00:00','SG','',39.9662686272128,-75.1658121048666
'471260900','1500','','','0000000','N','17th','St','1500 N 17th St','3/3/1983 0:00:00','','','','',39.9766096220082,-75.1635481515799
'471261000','1502','','','0000000','N','17th','St','1502 N 17th St','3/3/1983 0:00:00','','','','',39.9766724916169,-75.1635350484461
'881146808','1504','','','0000000','N','17th','St','1504 N 17th St','3/3/1983 0:00:00','','','','',39.9767299537191,-75.1635257209006
'881070815','1506','','','0000000','N','17th','St','1506 N 17th St','3/3/1983 0:00:00','','','','',39.976787335432,-75.1635128267039
'881146252','1508','','','0000000','N','17th','St','1508 N 17th St','3/3/1983 0:00:00','','','','',39.9768447171433,-75.1634999324853
'471261400','1510','','','0000000','N','17th','St','1510 N 17th St','3/3/1983 0:00:00','','','','',39.9769020988531,-75.163487038245
'881146253','1512','','','0000000','N','17th','St','1512 N 17th St','3/3/1983 0:00:00','','','','',39.9769568170045,-75.1634778151197
'471261610','1514','','','0000000','N','17th','St','1514 N 17th St','3/3/1983 0:00:00','','','','',39.9770141987116,-75.1634649208394
'471261700','1516','','','0000000','N','17th','St','1516 N 17th St','3/3/1983 0:00:00','','','','',39.9770715804171,-75.1634520265373
'471261810','1518','','','0000000','N','17th','St','1518 N 17th St','3/3/1983 0:00:00','','','','',39.9771262985654,-75.1634428033608
'471261900','1520','','','0000000','N','17th','St','1520 N 17th St','3/3/1983 0:00:00','','','','',39.9771809363219,-75.1634300135133
'471262000','1522','','','0000000','N','17th','St','1522 N 17th St','3/3/1983 0:00:00','','','','',39.9772410619697,-75.163417014655
'772272000','123','29','','0000000','S','17th','St','123-29 S 17th St','1/27/1962 0:00:00','','2/8/1995 0:00:00','RF','',39.9504802297147,-75.1686213495104
'871269050','130','','','0000000','S','17th','St','130 S 17th St','4/6/1978 0:00:00','','2/8/1995 0:00:00','RF','',39.95050928815,-75.1691804702831
'882037686','132','','','0000000','S','17th','St','132 S 17th St','4/6/1978 0:00:00','','2/8/1995 0:00:00','RF','',39.9504661067999,-75.1692142251724
