"Parcel","HouseNum","Ext","Rear","Unit","Dir","Street","Des","Loc","I Desig Date1","I Desig Date2","D Desig Date","District","Int Desig Date"
"888200168","115",,,"15",,"Roumfort","Rd","115 Roumfort Rd",7/5/1984 0:00:00,,,,
"888200169","115",,,"16",,"Roumfort","Rd","115 Roumfort Rd",7/5/1984 0:00:00,,,,
"888200171","115",,,"17",,"Roumfort","Rd","115 Roumfort Rd",7/5/1984 0:00:00,,,,
"888200170","115",,,"18",,"Roumfort","Rd","115 Roumfort Rd",7/5/1984 0:00:00,,,,
"888200172","115",,,"19",,"Roumfort","Rd","115 Roumfort Rd",7/5/1984 0:00:00,,,,
"888200173","115",,,"20",,"Roumfort","Rd","115 Roumfort Rd",7/5/1984 0:00:00,,,,
"888200174","115",,,"21",,"Roumfort","Rd","115 Roumfort Rd",7/5/1984 0:00:00,,,,
"081010805","2044",,,"0000000",,"Spruce","St","2044 Spruce St",,,2/8/1995 0:00:00,"RF",
"888106012","2047",,,"2",,"Spruce","St","2047 Spruce St",,,2/8/1995 0:00:00,"RF",
"888106013","2047",,,"3",,"Spruce","St","2047 Spruce St",,,2/8/1995 0:00:00,"RF",
"888106014","2047",,,"4",,"Spruce","St","2047 Spruce St",,,2/8/1995 0:00:00,"RF",
"888106015","2047",,,"5",,"Spruce","St","2047 Spruce St",,,2/8/1995 0:00:00,"RF",
"888103322","2009",,,"B",,"Spruce","St","2009 Spruce St",,,2/8/1995 0:00:00,"RF",
"888103321","2009",,,"C",,"Spruce","St","2009 Spruce St",,,2/8/1995 0:00:00,"RF",
"888037430","1917",,,"B",,"Spruce","St","1917 Spruce St",,,2/8/1995 0:00:00,"RF",
"888037435","1917",,,"C",,"Spruce","St","1917 Spruce St",,,2/8/1995 0:00:00,"RF",
"888037440","1917",,,"D",,"Spruce","St","1917 Spruce St",,,2/8/1995 0:00:00,"RF",
"888037445","1917",,,"E",,"Spruce","St","1917 Spruce St",,,2/8/1995 0:00:00,"RF",
"888038792","1931",,,"1B",,"Spruce","St","1931 Spruce St",,,2/8/1995 0:00:00,"RF",
"888038794","1931",,,"1C",,"Spruce","St","1931 Spruce St",,,2/8/1995 0:00:00,"RF",
"888081254","224","30",,"1805","W","Rittenhouse","Sq","224-30 W Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888081255","224","30",,"1806","W","Rittenhouse","Sq","224-30 W Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888081256","224","30",,"1807","W","Rittenhouse","Sq","224-30 W Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888081257","224","30",,"1808","W","Rittenhouse","Sq","224-30 W Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"572019100","19",,,"0000000",,"Longford","St","19 Longford St",,,6/9/2006 0:00:00,"GK",
"883013516","801",,,"1D",,"Market","St","801 Market St",6/9/2006 0:00:00,,,,
"883013300","801",,,"2",,"Market","St","801 Market St",6/9/2006 0:00:00,,,,
"883013400","801",,,"3",,"Market","St","801 Market St",6/9/2006 0:00:00,,,,
"888038742","101",,,"2",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038744","101",,,"3",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038746","101",,,"4",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038748","101",,,"5",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038750","101",,,"6",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038752","101",,,"7",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038754","101",,,"8",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038756","101",,,"9",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038758","101",,,"10",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038760","101",,,"11",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038762","101",,,"P1",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038764","101",,,"P2",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038766","101",,,"P3",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038768","101",,,"P4",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038770","101",,,"P5",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038772","101",,,"P6",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038774","101",,,"P7",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038776","101",,,"P8",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038778","101",,,"P9",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888038780","101",,,"P10",,"Walnut","St","101 Walnut St",,,12/12/2003 0:00:00,"OC",
"888031418","22",,,"102","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031420","22",,,"103","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031422","22",,,"104","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031424","22",,,"105","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031426","22",,,"201","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031428","22",,,"202","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031430","22",,,"203","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031432","22",,,"204","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031434","22",,,"205","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031436","22",,,"206","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
