"Parcel","HouseNum","Ext","Rear","Unit","Dir","Street","Des","Loc","I Desig Date1","I Desig Date2","D Desig Date","District","Int Desig Date"
"262197100","2515",,,"0000000","S","21st","St","2515 S 21st St",,,11/10/1999 0:00:00,"GE",
"262197200","2517",,,"0000000","S","21st","St","2517 S 21st St",,,11/10/1999 0:00:00,"GE",
"262197300","2519",,,"0000000","S","21st","St","2519 S 21st St",,,11/10/1999 0:00:00,"GE",
"262197400","2521",,,"0000000","S","21st","St","2521 S 21st St",,,11/10/1999 0:00:00,"GE",
"262197500","2523",,,"0000000","S","21st","St","2523 S 21st St",,,11/10/1999 0:00:00,"GE",
"262197600","2525",,,"0000000","S","21st","St","2525 S 21st St",,,11/10/1999 0:00:00,"GE",
"262197700","2527",,,"0000000","S","21st","St","2527 S 21st St",,,11/10/1999 0:00:00,"GE",
"262197800","2529",,,"0000000","S","21st","St","2529 S 21st St",,,11/10/1999 0:00:00,"GE",
"262197900","2531",,,"0000000","S","21st","St","2531 S 21st St",,,11/10/1999 0:00:00,"GE",
"262198000","2533",,,"0000000","S","21st","St","2533 S 21st St",,,11/10/1999 0:00:00,"GE",
"262198100","2535",,,"0000000","S","21st","St","2535 S 21st St",,,11/10/1999 0:00:00,"GE",
"888154232","524",,,"A","N","22nd","St","524 N 22nd St",,,10/11/2000 0:00:00,"SG",
"151139800","525",,,"0000000","N","22nd","St","525 N 22nd St",,,10/11/2000 0:00:00,"SG",
"881560710","526",,,"0000000","N","22nd","St","526 N 22nd St",,,10/11/2000 0:00:00,"SG",
"151139900","527",,,"0000000","N","22nd","St","527 N 22nd St",,,10/11/2000 0:00:00,"SG",
"881018551","404",,,"0000000","S","22nd","St","404 S 22nd St",,,2/8/1995 0:00:00,"RF",
"881540000","405",,,"0000000","S","22nd","St","405 S 22nd St",,,2/8/1995 0:00:00,"RF",
"081190700","406",,,"0000000","S","22nd","St","406 S 22nd St",,,2/8/1995 0:00:00,"RF",
"081189400","407",,,"0000000","S","22nd","St","407 S 22nd St",,,2/8/1995 0:00:00,"RF",
"081190800","408",,,"0000000","S","22nd","St","408 S 22nd St",,,2/8/1995 0:00:00,"RF",
"081189500","409",,,"0000000","S","22nd","St","409 S 22nd St",,,2/8/1995 0:00:00,"RF",
"081190900","410",,,"0000000","S","22nd","St","410 S 22nd St",,,2/8/1995 0:00:00,"RF",
"081191000","412",,,"0000000","S","22nd","St","412 S 22nd St",,,2/8/1995 0:00:00,"RF",
"262204505","2500",,,"0000000","S","22nd","St","2500 S 22nd St",,,11/10/1999 0:00:00,"GE",
"262204600","2502",,,"0000000","S","22nd","St","2502 S 22nd St",,,11/10/1999 0:00:00,"GE",
"262204700","2504",,,"0000000","S","22nd","St","2504 S 22nd St",,,11/10/1999 0:00:00,"GE",
"262204800","2506",,,"0000000","S","22nd","St","2506 S 22nd St",,,11/10/1999 0:00:00,"GE",
"262204900","2508",,,"0000000","S","22nd","St","2508 S 22nd St",,,11/10/1999 0:00:00,"GE",
"262205000","2510",,,"0000000","S","22nd","St","2510 S 22nd St",,,11/10/1999 0:00:00,"GE",
"262205100","2512",,,"0000000","S","22nd","St","2512 S 22nd St",,,11/10/1999 0:00:00,"GE",
"262205200","2514",,,"0000000","S","22nd","St","2514 S 22nd St",,,11/10/1999 0:00:00,"GE",
"262205300","2516",,,"0000000","S","22nd","St","2516 S 22nd St",,,11/10/1999 0:00:00,"GE",
"262205400","2518",,,"0000000","S","22nd","St","2518 S 22nd St",,,11/10/1999 0:00:00,"GE",
"262205500","2520",,,"0000000","S","22nd","St","2520 S 22nd St",,,11/10/1999 0:00:00,"GE",
"262205600","2522",,,"0000000","S","22nd","St","2522 S 22nd St",,,11/10/1999 0:00:00,"GE",
